"Stock","Category","Value","col"
"bll.27.3a47de","Landings",1017.83361776825,"#b15928"
"cod.27.46a7d20","Landings",15802.8979074289,"#a6cee3"
"had.27.46a20","Landings",35703.9731493033,"#1f78b4"
"ple.27.7d","Landings",1541.680401,"#b2df8a"
"ple.27.420","Landings",24667.3669553872,"#33a02c"
"pok.27.3a46","Landings",46031.0501032353,"#fb9a99"
"sol.27.4","Landings",5276.4925230223,"#fdbf6f"
"sol.27.7d","Landings",1757.68642,"#e31a1c"
"tur.27.4","Landings",1625.09612333809,"#ff7f00"
"whg.27.47d","Landings",14145.3658229788,"#cab2d6"
"wit.27.3a47d","Landings",1539.59881106604,"#6a3d9a"
"Nephrops","Landings",22729.7964136316,"#ffff99"
